Row Labels,Sum of Profit
California,76381.3871
New York,74038.5486
Washington,33402.6517
Michigan,24463.1876
Virginia,18597.9504
Indiana,18382.9363
Georgia,16250.0433
Kentucky,11199.6966
Minnesota,10823.1874
Delaware,9977.3748
New Jersey,9772.9138
Wisconsin,8401.8004
Rhode Island,7285.6293
Maryland,7031.1788
Massachusetts,6785.5016
Missouri,6436.2105
Alabama,5786.8253
Oklahoma,4853.956
Arkansas,4008.6871
Connecticut,3511.4918
Nevada,3316.7659
Mississippi,3172.9762
Utah,2546.5335
Vermont,2244.9783
Louisiana,2196.1023
Nebraska,2037.0942
Montana,1833.3285
South Carolina,1769.0566
New Hampshire,1706.5028
Iowa,1183.8119
New Mexico,1157.1161
District of Columbia,1059.5893
Kansas,836.4435
Idaho,826.7231
Maine,454.4862
South Dakota,394.8283
North Dakota,230.1497
West Virginia,185.9216
Wyoming,100.196
Oregon,-1190.4705
Florida,-3399.3017
Arizona,-3427.9246
Tennessee,-5341.6936
Colorado,-6527.8579
North Carolina,-7490.9122
Illinois,-12607.887
Pennsylvania,-15559.9603
Ohio,-16971.3766
Texas,-25729.3563
Grand Total,286397.0217
